Calidad de Señal,Atención,Meditación,Delta,Teta,Low Alfa, Hight Alfa, Low Beta, Hight Beta,Low Gamma, Hight Gamma
26,0,0,280605,1079778,125867,724010,118278,172722,56047,82424
26,0,0,919394,1290417,162368,739176,202608,146271,123821,88898
26,0,0,1523306,1004769,183199,617998,111766,137203,77504,183211
26,0,0,364300,502933,234366,84233,122483,64985,64408,28174
26,0,0,1293138,1238469,282281,172089,171441,212250,162697,119645
26,0,0,132792,537876,18224,281759,25246,20522,16634,37727
26,0,0,460105,1896948,984057,1400891,73613,117199,29665,139682
26,0,0,188555,514198,177806,67651,45443,40706,19877,30432
26,0,0,1648184,1236061,513664,380297,392369,151049,92029,85679
26,0,0,2266179,1128342,517428,634033,558975,134519,272454,117742
26,0,0,187454,391189,146573,125707,65618,34554,92334,38974
26,0,0,509877,176594,51736,108459,181730,115864,52142,65180
26,0,0,632494,400160,136232,254882,96387,75086,36271,49639
26,0,0,60878,53638,14533,36648,9970,11707,7845,9396
26,0,0,953294,1674333,100970,597469,163244,140548,102604,176315
26,0,0,587313,865519,242539,889413,190602,208383,87457,155205
26,0,0,260770,1537049,624926,937662,83231,149540,65080,114807
26,0,0,346912,884135,102340,83976,34626,63260,32078,18900
26,0,0,240376,175228,102057,227635,136358,33929,48300,34792
26,0,0,976668,1295642,100228,1597705,139851,478469,65665,127834
26,0,0,683614,1641027,173063,257200,157010,361254,142421,79097
26,0,0,2368440,1904747,186320,1232430,594316,379124,271040,278131
26,0,0,1373055,1576424,863632,586519,400069,274349,182983,148574
26,0,0,740826,271812,47110,66718,65640,67275,77869,26224
26,0,0,390438,358916,109037,88705,39426,45949,72040,29586
26,0,0,833730,948371,154637,944252,102421,202706,114115,140635
26,0,0,1344439,1758938,237177,359275,309248,296875,88991,163762
26,0,0,484244,248806,61205,160988,42224,102958,40551,62761
26,0,0,155557,144629,24206,50325,12882,11312,17098,21095
26,0,0,191663,1059012,203324,629561,371170,337575,104470,71943
26,0,0,121000,690354,33757,99602,57671,78552,57068,28430
26,0,0,404319,612698,111535,88952,47633,77545,39398,21233
26,0,0,297010,280348,50044,142556,71385,62059,10939,20125
26,0,0,2577212,573123,68231,1606861,266120,784534,267028,128027
26,0,0,449624,338489,47244,36293,104929,26957,24170,23518
26,0,0,1088473,1589408,368616,270915,340395,245385,252227,186047
26,0,0,712254,242265,17105,80948,46199,52790,43160,87288
51,0,0,492213,393332,50757,128731,144212,394011,107254,232888
0,30,48,758278,139210,73071,47753,14685,10549,4390,7834
26,30,48,397717,363456,951506,230213,546775,347559,75448,54971
26,30,48,261669,1982481,539956,1005257,55279,453654,145316,100072
26,30,48,1384080,1617699,1536168,518269,224994,417377,161923,289615
26,30,48,83095,524625,86495,337402,43446,78002,28850,25157
26,30,48,295380,2549982,466569,819587,128100,334730,187633,184229
26,30,48,1280008,1800463,366074,581492,533025,229571,69788,135210
26,30,48,605937,835664,33131,478263,211002,188312,67565,138713
26,30,48,556761,1208252,619168,364593,618457,157780,196781,77007
26,30,48,992621,1324439,571737,630135,190177,164891,240386,252836
26,30,48,1197065,2207342,154251,642916,294724,320773,113421,221911
26,30,48,155002,410076,78736,103145,28520,53235,59276,94907
26,30,48,328897,761916,173756,218669,45924,98904,46417,21591
26,30,48,135468,929110,81540,198821,29116,140549,82635,48417
26,30,48,291058,707911,55905,73290,82350,81700,43333,71708
26,30,48,1471519,1110213,930476,1658205,118559,86354,107445,172438
26,30,48,536091,446439,81271,134085,68053,82956,34325,53200
26,30,48,1378104,1727351,615258,796371,54931,680205,112588,149162
26,30,48,204303,576382,48607,196242,65835,60940,10267,67217
26,30,48,539208,1092968,1759531,442149,352094,363780,149525,104737
26,30,48,592344,2496833,492170,507602,237828,285395,242735,131518
26,30,48,1272472,473041,97357,98988,82394,51703,42591,51504
26,30,48,285999,1000471,116502,336635,55853,118389,39653,32626
26,30,48,707772,773138,328157,474131,506574,374125,162322,82622
26,30,48,64084,119127,17129,27330,25629,29455,6989,8035
26,30,48,612666,203915,105259,142593,126685,50235,67454,41081
26,30,48,336077,711676,188619,49305,124893,60238,32608,52801
26,30,48,514773,389192,215290,59830,95046,132590,36048,28643
26,30,48,256932,494431,64549,204152,38025,129925,41143,57987
26,30,48,802629,427967,204019,76014,48334,56700,58626,56263
26,30,48,509781,1010630,130783,337138,397666,170005,189310,312034
26,30,48,583507,168696,33052,182591,53194,50302,57607,48949
26,30,48,1520747,1975510,847354,640250,327739,229260,276821,295626
26,30,48,448452,724006,87781,199011,94453,99065,45221,37520
26,30,48,641097,228626,86389,136518,61462,133535,89492,106189
